County,State,actual_risk,predicted_risk,prediction_error,unemployment_rate,median_household_income,per_capita_income,pct_no_health_insurance_places,pct_high_blood_pressure,pct_on_bp_medication,pct_coronary_heart_disease,pct_annual_checkup,pct_cholesterol_screening,pct_current_smoking,pct_diabetes,pct_high_cholesterol,pct_low_physical_activity,pct_obesity,pct_stroke,pct_with_insurance,pct_without_insurance,pct_with_public_insurance,primary_care_physicians_per_1k,nurse_practitioners_per_1k,physician_assistants_per_1k,hospital_beds_per_1k,critical_access_hospitals_per_1k,hospitals_diabetes_prevention_per_1k,hospitals_nutrition_programs_per_1k,hospitals_community_health_education_per_1k,risk_rank,risk_percentile,shap_unemployment_rate,shap_median_household_income,shap_per_capita_income,shap_pct_no_health_insurance_places,shap_pct_high_blood_pressure,shap_pct_on_bp_medication,shap_pct_coronary_heart_disease,shap_pct_annual_checkup,shap_pct_cholesterol_screening,shap_pct_current_smoking,shap_pct_diabetes,shap_pct_high_cholesterol,shap_pct_low_physical_activity,shap_pct_obesity,shap_pct_stroke,shap_pct_with_insurance,shap_pct_without_insurance,shap_pct_with_public_insurance,shap_primary_care_physicians_per_1k,shap_nurse_practitioners_per_1k,shap_physician_assistants_per_1k,shap_hospital_beds_per_1k,shap_critical_access_hospitals_per_1k,shap_hospitals_diabetes_prevention_per_1k,shap_hospitals_nutrition_programs_per_1k,shap_hospitals_community_health_education_per_1k
Red River,Louisiana,0.0,1.9768400252685965,1.9768400252685965,3.2,44539.0,25081.0,8.9,39.3,81.9,7.3,78.9,83.7,23.2,14.9,33.3,35.1,46.3,4.6,91.36759108210984,8.387710712343665,54.44535073409463,45.11626899137218,73.19933036666748,28.246672894287705,257.50186633021,0.515385192577516,0.2654573468799016,0.2939930232316211,0.6029249769208023,126,4.1,0.027723794671018702,0.030230882982342215,0.03805118569124409,0.01870069692531263,0.038987018605505235,0.026921325220960367,0.0001449773316823653,-0.0048264032781987695,-0.010898054219690846,0.056159713578839435,0.005699679908053136,-0.011162624797038173,0.010535031740239783,0.06977924552512758,0.007463467151552031,0.008293055998640933,-0.00710261652783138,0.2418838893186114,-0.001067576353767985,0.007466955126247171,0.03368929164514235,0.014340998052480082,0.04352877487282014,0.007356336122286303,0.034389808699153236,0.022062824587305175
Nevada,Arkansas,0.0,1.8153628014339358,1.8153628014339358,8.3,41761.0,23002.0,14.1,40.4,81.6,10.7,78.0,81.4,21.7,18.8,32.1,35.2,41.5,5.9,93.17733990147784,6.120689655172414,62.13054187192119,18.35520990693785,38.63820716241159,3.325775175560379,80.69618058649816,0.3568962404201255,0.4218169173434428,0.1623890150385875,0.8708136407715761,262,8.5,0.0251808986759899,0.018053848274579704,0.008713791848641706,0.012631168479910552,0.043527576683073256,0.02786015572609672,0.030596701707060466,-0.007647106858556345,0.005261512841048064,0.05560254213701735,-0.005047331302905707,-0.034778245317926684,0.012020455159419472,0.03375232331972192,-0.014555157171389803,0.022203415690999595,0.004014386473259942,0.2923596577725811,0.00043961965994275526,-0.011915432460131953,-0.03171289526953267,0.002650822455002473,0.027791085582529275,-0.002514831075202558,0.009785759779221682,0.02259973193292379
Franklin,Virginia,1.620191182559542,1.3431753355359526,0.2770158470235895,4.7,65125.0,31838.0,4.5,45.3,61.2,6.4,77.6,88.0,18.6,10.9,41.8,20.7,33.9,5.5,14.00385245458964,0.5040594790185242,7.512286449801077,12.4761894843302,13.53277800505868,6.167667897577266,37.57307194091926,0.0245067497444226,0.0384216298395709,0.0605583763391577,0.113389510277612,1480,48.1,0.019213005618447826,0.014036093821228973,0.018441503497117012,0.029712915782422005,0.06376060061780428,-0.007824493780087361,-0.0048448906480533915,0.006815839032119997,-0.005305205733278934,0.05901621773627632,-0.0008170697660658463,0.060565971663859554,0.0004367463366250127,0.0010478220195320996,0.02290439090366045,-0.038386571988647575,0.05234736342804277,-0.2778738794942,0.0016661589363308866,-0.00024943956701880464,-0.004930619402143213,-0.0023415898447858574,0.04220910565430554,-8.824168274856607e-05,0.0211900650763888,0.003985190628260326
Oneida,New York,1.1557645404407726,1.3764447629396102,0.22068022249883756,4.7,68819.0,36865.0,5.4,33.7,80.1,5.9,78.0,85.4,15.1,9.0,36.2,26.3,38.2,3.0,95.00252686163785,3.271297049065061,47.12926545230823,3.32598815889874,7.538759075982661,3.931556770423087,15.497111481733008,0.0157498315825904,0.0192840686937738,0.0,0.0376495075000026,1396,45.4,0.02076422702302093,-0.011344760695309453,0.02582209849545074,0.007170199421798032,-0.0279540683100836,0.004174162948515467,-2.907192265994962e-05,-0.00979991552383637,-0.006005420395164852,-0.04705419040741987,-0.0005284473515122504,0.006247466528913509,-0.006804091274090899,0.022044707221914858,-0.0035586829535981554,0.007027034870036411,0.010772144418413898,0.13384660110856672,0.005800555511997495,6.191434328097594e-05,-0.006989065021554988,-0.004172898413283333,0.03245652966510009,-0.01134958823543472,-0.012209109030085093,-0.02043191577392514
Calhoun,Iowa,0.0,1.4929950162436472,1.4929950162436472,2.8,66875.0,36086.0,7.3,29.5,81.2,5.8,75.5,82.8,16.1,9.6,36.3,27.1,38.9,3.0,91.4063300215098,2.847485404076616,44.93495851684933,13.034798612682618,23.047651179534643,7.219975632754394,66.26524348279479,1.4736904774038906,1.3368637180340193,0.0649920841579587,1.6368246597995195,1033,33.6,0.018809943189609445,0.020077875540771496,0.027720386981509113,0.003490716544560568,-0.05328328599476851,0.012145825247837652,0.004001440324869295,-0.012911863989715286,-0.01571087263275545,0.015573872179637738,-0.0016531217485925833,0.010754411746704077,-0.005194703015073881,0.045512944924623384,0.003750341770639166,0.022118437527669187,0.017621766090079496,0.16124808763661752,0.005360820416917273,-0.0044021687923921525,-0.005118487046614346,0.00814069037414633,-0.08566307520985836,0.025646823951214075,0.01886616769854422,-0.012396304163091667
Olmsted,Minnesota,1.1712302165258763,0.8139515335762302,0.35727868294964615,3.6,93494.0,52059.0,5.1,26.1,75.5,5.0,68.8,80.9,12.6,9.8,25.4,17.9,35.3,2.6,94.17419166909409,3.8286484124672295,29.02102145839402,4.689034346365339,7.330679986537908,4.234861666076204,11.947325496325918,0.0471590098749064,0.053919495762247,0.0,0.0764548400155734,2654,86.3,0.015053333524320879,-0.0264175733047119,-0.07729145273073267,0.006640884807831902,-0.0230898959824462,-0.0051670594049296244,-0.008848182019927112,0.011800278681669614,0.004239254114708883,-0.08714850581775675,-0.00042926058268982965,-0.005425631198483559,-0.008250136777260091,-0.018957338985669855,-0.0020382291409237747,0.007338835977869901,0.01084599844692335,-0.22695594179808334,0.002611207603197364,-0.0004582973573737824,-0.004564105117737099,-0.0010509007102765453,0.01885156072008242,-0.002046352624444177,-0.02750541853050694,-0.006273884906980568
Knox,Nebraska,1.4461315979754157,1.4452039361327396,0.0009276618426761196,3.9,64821.0,32687.0,10.1,40.1,62.4,6.5,76.6,83.3,16.4,10.1,28.6,27.3,43.0,3.3,92.79344420342252,6.073752711496746,40.50373583996144,9.335771106401188,18.852205677777864,13.384499083759234,97.406978209095,1.5067811623892755,0.4160569678403437,0.0,1.0576042553045488,1183,38.5,0.03473198186867814,0.009779954152480176,0.030204571617953226,-0.00015777595608321992,0.019740465558668825,-0.010795738670008244,-0.006035434469852576,-0.011688153587832434,0.00250643646825294,0.00739442981841943,0.0052751664607744875,-0.00556146041828573,-0.003366109814041947,0.1321893231943339,-0.0008539271775045848,0.017087861358150578,-0.0001685040757315652,0.07087060688525022,-0.0032479752679348333,0.0007944379936563429,-0.025085042121271547,0.011212210381195284,-0.07984898668349058,-0.0032630014476932485,-0.010674429467865378,-0.004325317158036833
Clark,Kentucky,2.627064121809993,1.6413032557493112,0.9857608660606818,4.8,67824.0,39131.0,7.2,40.5,82.2,8.4,76.9,82.3,19.2,11.6,37.5,26.7,40.0,3.3,94.36521552648507,3.752948745442848,46.35695903924512,17.439780899971073,45.24896819623908,17.960957068169368,86.10778845053899,0.1756065647124007,0.2119953589000202,0.0232577891125188,0.2754864885003663,586,19.1,0.020483947499320632,-0.01483762343745712,-0.011908037884466486,0.0049264448968286915,0.03875309468433826,0.025600130729185645,0.0058813171221673635,-0.01036457348727947,-0.0008731039740627044,0.03261382436066459,-0.004479925245440016,0.009372390286370526,-0.003128584817008357,0.026206835383370722,-0.001629867766052301,0.009828526383413779,0.0047088534764258404,0.17889732901471778,-0.00017394942428331474,0.007477816526772192,-0.007021367998671647,0.003502919995844649,0.055974022663388606,0.002317044782643211,-0.006377367707108159,0.007064812995128426
Hamilton,Iowa,1.6294385226424062,1.308079432689449,0.32135908995295726,3.9,71750.0,38075.0,4.9,26.8,59.0,7.7,79.7,80.0,15.4,12.1,35.8,25.8,35.4,3.8,95.44436146377892,4.256908140403286,40.61375517686197,36.19256557074336,54.08845372764622,25.36338349702217,122.45805074238886,0.7224078171318881,0.8848798806550496,0.0907338874262249,1.0333705659562102,1617,52.6,0.02300852948896113,-0.015198530027311296,0.0045512162748373676,0.016182681076743484,-0.011426959080725243,-0.0065082768162359975,0.001670232766911099,0.010572455666881697,0.006023007875725305,-0.06978669459114782,-0.0027234536428786746,-0.0010471004401207574,-0.0030586441773981245,-0.027043112706070255,-0.0011422092059935514,0.013909109139903229,0.006108111035196476,0.007618974172459137,0.0038162841018708113,0.009590982537284486,0.014237865284938579,0.013636841185931363,-0.021721122643210473,0.008822677781502366,0.04738171059283111,0.012116510348004124
Johnson,Tennessee,1.0884353741496595,1.7445867776927988,0.6561514035431393,3.7,52152.0,28786.0,10.2,37.3,81.8,10.5,74.2,81.5,23.6,12.9,34.0,30.0,39.5,5.2,78.18231292517007,11.178231292517008,46.68843537414966,36.45717915281917,80.06299201875336,23.046491240947432,146.00336489876247,0.2611987833707576,0.1634910107248956,0.0,0.3145990975880556,377,12.3,0.02702027796378682,0.01974386884780588,0.033975177089168265,0.0038089942991116205,0.0020397141761070133,0.029037531882141757,0.02513666438629939,-0.0028390169049560417,0.005465417670422462,0.05523741868081496,-0.006555261770838591,-0.006688342987790844,0.002274032832397339,0.020300164782149396,0.008378112449706888,-0.03416948598762801,-0.00029861072117621823,0.16363331919908436,0.0014570965235807098,0.01384787151672637,0.042406648614604116,0.0028002440083191075,0.06637638294999047,0.004682104712123321,-0.012038842465887123,0.011066949256175927
Bertie,North Carolina,2.77744947405744,1.9525952537950173,0.8248542202624225,8.4,45931.0,27082.0,14.2,43.1,65.6,9.9,81.5,85.1,19.6,19.0,31.7,32.1,43.2,6.6,83.82578891383997,10.583855336248671,46.773431036520506,23.996362818206407,38.221207854556766,23.78883403884005,140.46889912647904,0.1566936624000001,0.1073359205153092,0.0,0.3569011991906261,142,4.6,0.0162808164372995,0.03841266067813748,0.03957748666869574,0.0089618642538858,0.04620738226570197,0.008487410334526609,0.02802205050369966,0.002654140293006781,-0.0056622749135822655,0.050112467863834505,0.009443017848353663,-0.013769428583810828,0.01766265222592324,0.054513981437796726,0.009292287983997808,0.007833954693866507,0.0035394326543429612,0.247689486512466,0.0024970297221309085,0.003172486252965398,0.04233480267521206,0.0036755015914240728,0.05110111478277141,0.01139210937221454,-0.007998239898478771,0.008672713448078328
Knox,Illinois,1.652516989940303,1.5583806968664704,0.09413629307383253,4.5,53291.0,29614.0,11.7,38.1,80.8,6.6,74.6,78.3,18.8,11.1,36.0,26.3,37.9,3.6,91.4709466856706,5.283923075334118,43.08731486645597,11.505360041149451,20.44342093639701,5.9453785915264,46.76581508850056,0.1597661195128845,0.1736368962828725,0.0136701204760995,0.3300677514440811,834,27.1,0.027017118586785897,0.015220486520103854,0.012663845539226193,-0.0010712953479326776,0.01502233740375287,0.012631315401671872,-0.002973598825882747,-0.0005484656580833685,0.007858879371938986,0.030075926427295258,-0.005534886836051916,-0.0015168578934993914,-0.01087151386520913,-0.01212571663169101,-0.004419131512662501,0.007501078090788605,0.000841106684438316,0.1571827294315955,-0.0010995079949686598,-0.00606643711901865,-0.016339072373091172,4.2144904524241384e-05,0.05527751913470769,0.0070675514147303916,-0.008266434646027497,0.012323229968470751
Gloucester,New Jersey,0.7749097829928377,0.9505826091982722,0.17567282620543445,5.2,102807.0,47760.0,7.4,30.7,78.1,6.5,76.7,88.6,12.3,8.7,35.6,21.7,36.4,3.3,94.19368853814404,4.1472263741679445,30.807365209468813,17.768821742133778,27.31408401915112,12.10438164831625,64.81287602731574,0.0,0.0703517446309341,0.0337321366546354,0.1280869708818751,2448,79.6,0.009537313263763593,-0.03122940532265392,-0.05896738212955201,0.001256990773547703,-0.014716391555579607,-0.005601858045693669,-0.004414078734262347,-0.011858207164523217,0.0010862306214407319,-0.07764092360449719,-0.004045111678670776,-0.0011375486145740116,-0.009098877093555726,-4.589937644567005e-05,0.0027723623292720658,0.0045699395040399255,0.006400765359154992,-0.15263525540064696,0.0009629100693013789,-0.002755744095252879,-0.00612905567912136,0.0014797334640646764,0.027545965435151025,0.0008476992571205897,0.008865300007250517,-0.0029552090813649325
Starke,Indiana,0.6894768594329054,1.5913687287354628,0.9018918693025574,3.4,62933.0,28895.0,6.0,33.7,62.3,8.6,78.3,79.7,19.6,10.5,36.8,29.6,40.0,4.1,93.7516159613893,6.502628630526589,46.67327415323624,31.7873902871446,57.640392117196,11.753062665519566,171.34094977215625,0.2585905526430093,0.4467238886341482,0.0312392652109621,0.5663812199029742,735,23.9,0.018271073814065675,0.004778843969559372,0.015202532645606294,0.010776216555573566,-0.04368810766297314,-0.010035671590922184,0.007180597534536428,-0.004198025949137997,0.004874570975227991,0.03678452986587189,-0.02177908758895128,0.00487722324525482,0.0040746423653906455,0.034645848884583406,-0.002462302644830616,0.014387037604386546,-0.0011341493030281784,0.16395601711852878,0.0010443019728967873,0.0064737362182520335,-0.015077368490275599,0.006910606956268592,0.05683269648061516,0.012836615368938233,-0.001081727979964287,0.018429731679429993
Musselshell,Montana,1.8839487565938209,1.6472417201350422,0.23670703645877866,5.9,59010.0,35879.0,7.7,39.5,56.6,6.0,73.7,75.8,17.8,11.7,26.3,25.6,33.6,3.1,86.41672946495855,8.534287867370008,49.8492840994725,26.664039861918624,30.238173934427063,32.45931623879111,98.77309559568018,0.188394875659382,0.1447126518526086,0.0,0.2894253037052173,573,18.6,0.024048418703322746,0.015037536572013486,0.0190650472077402,0.011899850446741887,0.025737152022457667,-0.0036959356205451886,0.0071460746759234904,0.0015807217193636077,-0.0026943188414146812,0.032629075507482466,-0.005027862335440989,-0.013314054937686516,-0.010143658268131583,-0.04002363436122281,-0.009001976358810192,0.005068403608605889,-0.001103809588862204,0.22315609709373527,0.001041784039526449,0.003310229140970222,0.03493957144830398,0.002873006132109512,0.053619382609666914,0.00536640605287308,-0.014699058257567305,0.011938925033327854
San Juan,Colorado,0.0,0.5999045277395987,0.5999045277395987,6.7,73889.0,46192.0,7.7,25.1,52.9,7.3,66.5,86.3,14.4,10.1,27.4,17.7,27.4,2.8,75.31172069825436,10.723192019950124,26.309226932668327,115.07952887939398,120.82686938985808,91.06158306868892,144.798516341433,0.8203353780912115,1.760303413968841,0.0,0.8044973861968734,2805,91.2,0.010850402863593648,-0.020896617791047886,-0.08114304723351981,0.004833989529062621,-0.02740200760181364,-0.019906639698645357,0.009218905607950162,0.01414514295215201,0.009387014401199219,-0.03937587629965502,-0.001206100945157384,-0.0064364222211128475,-0.029299337337205626,-0.19582217578858274,-0.0026485245715413496,-0.02092256177771218,-0.016571779309931207,-0.2081887691347359,0.017663751950059394,0.006743452656200285,0.02501518828681017,0.006830713599206345,-0.09062161899709172,-0.003479690759728795,-0.03201165843162391,0.022660447101911514
Hampshire,West Virginia,1.226267495454353,1.6115000693453678,0.38523257389101473,7.2,60299.0,31143.0,10.2,43.6,63.1,11.6,81.5,84.7,23.7,13.4,41.1,34.0,42.0,3.8,87.98680705315235,8.516216330500233,44.39934035265762,23.495097691210475,36.25100678577189,16.8070443473731,89.63856201913464,0.3205710644230246,0.4769154064851869,0.0,0.4854177060800224,679,22.1,0.01624489035977095,0.010734575647756364,0.008849731491516055,0.0028067258230243383,0.032941358011308354,-0.006699090580601872,0.0023365560476081735,0.009788776448774114,0.004110468899569508,0.04621781495953463,-0.003719937540352873,0.030220805421587747,0.017452164604181784,0.042130070591210565,0.002427825206170473,0.002756537883872116,-0.0025160909905742766,0.1216657795984793,-0.0021933582451815936,-0.015973422566537276,-0.013173080856816358,-0.0002941215082187986,0.03427685189779707,0.000996698162566994,-0.012244025469540183,0.013867219357903988
